Date,Close,Volume,Open,High,Low,SMA_50,SMA_200,RSI,ATR
2023-07-21,94.77,7187737,95.86,96.005,94.74,88.8478,101.40605,16.329649142576287,9.560000000000002
2023-07-20,94.84,10804600,96.06,96.68,94.32,89.18060000000001,101.24715,16.46958966156683,9.36
2023-07-19,96.7,11096780,96.71,97.59,96.27,89.5372,101.11635,16.276340576054935,8.63000000000001
2023-07-18,96.16,10023020,93.91,96.62,93.62,89.9102,101.00495000000001,11.132071325047391,8.63000000000001
2023-07-17,94.13,7687337,93.04,94.82,93.01,90.24340000000001,100.89885,12.504748850587319,7.909999999999997
2023-07-14,93.17,7729147,93.97,94.5,92.71,90.4852,100.7816,4.507971211426636,6.609999999999999
2023-07-13,93.36,7872504,92.41,93.935,92.18,90.7508,100.6366,1.8529090465080316,7.019999999999996
2023-07-12,91.33,20474600,91.57,92.23,90.68,90.96260000000001,100.48755,-41.6985138105679,8.519999999999996
2023-07-11,89.26,10022690,88.0,89.53,87.395,91.04860000000001,100.34465,-81.75985346410295,11.805000000000007
2023-07-10,87.53,6371509,86.65,87.68,86.325,91.04939999999999,100.18555,-100.21605855352303,12.875
2023-07-07,86.91,8788779,86.98,89.3806,86.78,91.02279999999999,100.02255,-77.55956580863474,11.375
2023-07-06,87.61,14826950,87.52,87.94,86.09,91.01360000000001,99.88335,-133.63048155015144,11.5
2023-07-05,89.87,12400110,89.1,90.32,89.1,90.9824,99.76995,-51.986146819201736,11.5
2023-07-03,90.3,3604493,89.74,90.44,89.56,91.0034,99.64380000000001,-38.173542582629324,11.5
2023-06-30,89.98,8264595,88.92,90.6,88.72,91.0248,99.51195,-31.187164227628415,11.5
2023-06-29,87.04,8989931,85.73,87.11,85.52,90.9568,99.35455,-54.717522596033064,12.070000000000007
2023-06-28,86.15,14974930,85.27,86.675,84.88,90.90540000000001,99.189,-113.93143282845097,11.740000000000009
2023-06-27,85.97,11297560,83.74,86.32,83.46,90.8582,98.99965,-105.63543192778891,11.36
2023-06-26,83.23,9601073,83.94,85.08,83.095,90.73700000000001,98.76880000000001,-113.09946010261561,11.405000000000001
2023-06-23,84.32,8737773,84.12,85.38,83.85,90.6006,98.55735,-67.73649083164085,10.840000000000003
2023-06-22,86.28,9987214,84.82,86.34,84.6,90.4788,98.33615,-40.38333686328869,9.135000000000005
2023-06-21,85.51,10555800,86.17,86.6732,85.0801,90.35079999999999,98.11335000000001,-32.70312926235465,7.5049999999999955
2023-06-20,87.14,6915791,87.22,87.77,85.77,90.2442,97.8994,-9.10776766373614,7.5049999999999955
2023-06-16,88.46,10017370,90.66,90.7,88.16,90.18800000000002,97.7108,4.735299466967064,7.605000000000004
2023-06-15,89.4,13980970,85.76,90.22,85.7,90.2268,97.50255000000001,10.595057548488782,7.605000000000004
2023-06-14,86.43,20155900,86.22,87.45,84.2,90.2368,97.28130000000002,-3.89866056132297,7.605000000000004
2023-06-13,86.0,10559710,85.27,86.41,84.845,90.2724,97.04455,-18.432682236684116,7.605000000000004
2023-06-12,84.34,6531667,82.75,84.41,82.305,90.2018,96.79610000000001,-31.865551312003134,8.394999999999996
2023-06-09,82.21,8889027,82.23,83.36,81.585,90.14480000000002,96.53675000000001,-44.83034490295748,9.115000000000009
2023-06-08,81.73,8148082,80.38,82.04,79.93,90.0626,96.29135000000001,-30.126459483886492,10.769999999999996
2023-06-07,80.47,14289000,81.45,82.14,80.14,89.98899999999999,96.0343,-33.15849842764226,10.769999999999996
2023-06-06,81.27,7150339,80.46,81.555,80.09,89.9316,95.77595,-24.878589776597394,10.769999999999996
2023-06-05,80.72,10645550,81.44,82.17,80.325,89.821,95.5111,-13.18290616875619,10.769999999999996
2023-06-02,81.25,10481190,79.37,81.7011,79.04,89.6814,95.2551,-17.096708383031213,11.659999999999997
2023-06-01,77.93,11584490,75.88,78.5,75.185,89.41300000000001,94.99940000000001,-63.24416383874305,15.515
2023-05-31,75.83,12182380,75.98,76.555,74.91,89.1308,94.74210000000001,-78.43956349359689,15.790000000000006
2023-05-30,77.08,9094149,78.13,78.43,76.31,88.869,94.50235,-83.76757197914483,15.790000000000006
2023-05-26,77.07,13126040,74.53,77.44,74.47,88.6066,94.24869999999999,-119.79376878585808,15.75
