Date,Close,Volume,Open,High,Low
06/19/2017,35.40,1887121,34.97,35.45,34.9348
06/16/2017,34.55,1433983,34.66,34.66,34.16
06/15/2017,34.57,1533458,34.10,34.629,33.98
06/14/2017,34.78,2791645,35.05,35.05,34.37
06/13/2017,34.89,1566604,34.68,34.94,34.51
06/12/2017,34.40,1791607,34.30,34.4387,33.99
06/09/2017,34.45,2363565,34.74,35.1199,33.82
06/08/2017,34.60,1562096,34.59,34.84,34.35
06/07/2017,34.56,1037713,34.53,34.6599,34.20
06/06/2017,34.36,1000409,34.39,34.6768,34.33
06/05/2017,34.66,1482997,34.70,34.827,34.618
06/02/2017,34.74,1792331,34.49,34.85,34.3259
06/01/2017,34.43,1561945,33.86,34.44,33.74
05/31/2017,33.65,1157100,33.85,33.85,33.32
05/30/2017,33.70,553575,33.63,33.80,33.5401
05/26/2017,33.80,885765,33.74,33.841,33.67
05/25/2017,33.77,1608028,33.59,33.94,33.47
05/24/2017,33.30,946819,33.21,33.37,33.06
05/23/2017,33.08,1869335,33.04,33.169,32.88
05/22/2017,32.87,1135581,32.61,32.95,32.59
05/19/2017,32.36,1515994,32.01,32.6929,31.98
05/18/2017,31.76,2065382,31.33,32.17,31.26
05/17/2017,31.44,3013920,32.33,32.57,31.3799
05/16/2017,33.16,1238549,33.41,33.42,32.99
05/15/2017,33.22,1405994,32.92,33.32,32.91
05/12/2017,32.76,722939,32.78,32.8299,32.60
05/11/2017,32.93,1252493,32.91,32.98,32.40
05/10/2017,33.11,697690,32.92,33.11,32.82
05/09/2017,32.97,1731030,33.18,33.25,32.7701
05/08/2017,33.05,1422546,33.08,33.1299,32.83
05/05/2017,33.04,1252558,32.85,33.04,32.64
05/04/2017,32.65,1356171,32.71,32.72,32.28
05/03/2017,32.54,2744737,32.48,32.655,32.25
05/02/2017,32.70,1095566,32.75,32.78,32.5048
05/01/2017,32.63,1029979,32.63,32.86,32.4601
04/28/2017,32.44,2034524,32.78,32.78,32.3643
04/27/2017,32.66,2253656,32.7175,32.78,32.3853
04/26/2017,32.5825,2220172,32.6175,33.025,32.545
04/25/2017,32.6075,2325696,32.3725,32.7825,32.325
04/24/2017,32.04,2581640,32.0875,32.1625,31.8525
04/21/2017,31.0425,2182424,31.305,31.3275,30.87
04/20/2017,31.3475,2447108,30.88,31.555,30.7525
04/19/2017,30.6275,2553920,31.05,31.2075,30.525
04/18/2017,30.7925,3311640,30.7575,31.0375,30.4825
04/17/2017,31.0675,2570728,30.5175,31.0725,30.4225
04/13/2017,30.3025,4098420,30.725,31.0525,30.2975
04/12/2017,30.905,2778348,31.1725,31.2525,30.7825
04/11/2017,31.3025,2871108,31.2325,31.3325,30.6175
04/10/2017,31.3975,2064016,31.415,31.775,31.175
04/07/2017,31.36,1829828,31.335,31.6748,31.1425
04/06/2017,31.445,1850792,31.2675,31.695,31.0925
04/05/2017,31.18,4509704,31.7925,32.255,31.1225
04/04/2017,31.5125,4484800,31.285,31.525,31.1275
04/03/2017,31.4625,4151856,31.65,31.7125,30.865
03/31/2017,31.5875,2176480,31.6675,31.9062,31.58
03/30/2017,31.8125,2543196,31.5125,31.93,31.4425
03/29/2017,31.5625,2462784,31.335,31.65,31.2175
03/28/2017,31.4325,2792064,30.655,31.6375,30.62
03/27/2017,30.78,3228296,30.115,30.91,30.00
03/24/2017,30.9125,4360492,31.1125,31.3525,30.5425
03/23/2017,30.96,3334036,30.9625,31.4775,30.80
03/22/2017,31.05,3756876,30.875,31.19,30.585
03/21/2017,30.88,6480700,32.375,32.4325,30.80
03/20/2017,32.0751,2757776,32.185,32.325,31.915
03/17/2017,32.2125,2407040,32.5175,32.58,32.2125
03/16/2017,32.40,5065544,32.655,32.67,32.225
03/15/2017,32.5325,4499444,32.025,32.7575,31.9089
03/14/2017,31.7375,3263368,31.865,31.8775,31.465
03/13/2017,32.11,1492084,32.055,32.1375,31.90
03/10/2017,32.055,3936812,32.2075,32.2175,31.6513
03/09/2017,31.7475,3403112,31.69,31.905,31.3075
03/08/2017,31.6625,4069416,31.9575,32.07,31.575
03/07/2017,31.8475,3053228,31.97,32.13,31.725
03/06/2017,32.12,2925216,32.02,32.275,31.83
03/03/2017,32.4225,3097496,32.3125,32.48,32.1275
03/02/2017,32.3725,3053232,32.8825,32.8875,32.325
